NAME,bike_percent,walk_percent,transit_percent,car_percent,taxi_motorcycle_other_percent,wfh_percent,metropolitan statistical area/micropolitan statistical area
"Aberdeen, SD Micro Area",0.2,4.1,0.5,87.2,1.0,7.0,10100
"Aberdeen, WA Micro Area",0.5,3.7,1.7,83.1,1.6,9.4,10140
"Abilene, TX Metro Area",0.5,1.9,0.4,88.5,1.0,7.7,10180
"Ada, OK Micro Area",0.1,4.3,0.2,90.7,1.0,3.7,10220
"Adrian, MI Micro Area",0.1,2.8,0.2,88.1,0.6,8.3,10300
"Aguadilla, PR Metro Area",0.2,3.2,0.4,89.4,0.7,6.1,10380
"Akron, OH Metro Area",0.1,1.5,0.8,83.5,1.0,13.1,10420
"Alamogordo, NM Micro Area",0.3,3.1,0.3,89.6,0.8,6.0,10460
"Alamosa, CO Micro Area",0.1,4.2,0.1,87.4,1.0,7.2,10480
"Albany, GA Metro Area",0.1,1.2,0.8,89.5,1.4,7.0,10500
"Albany, OR Metro Area",0.5,2.2,0.2,85.6,1.6,10.0,10540
"Albany-Schenectady-Troy, NY Metro Area",0.2,3.1,2.7,79.2,1.1,13.7,10580
"Albemarle, NC Micro Area",0.0,0.8,0.4,90.6,0.6,7.7,10620
"Albert Lea, MN Micro Area",0.5,2.5,0.1,88.4,1.0,7.5,10660
"Albertville, AL Micro Area",0.0,0.4,0.2,92.8,0.5,6.1,10700
"Albuquerque, NM Metro Area",0.6,1.6,1.0,82.6,1.2,12.9,10740
"Alexander City, AL Micro Area",0.1,0.9,0.3,93.7,0.4,4.5,10760
"Alexandria, LA Metro Area",0.2,2.2,1.9,87.5,3.6,4.5,10780
"Alexandria, MN Micro Area",0.7,2.0,0.3,85.9,0.5,10.7,10820
"Alice, TX Micro Area",0.0,1.2,0.0,90.0,0.7,8.1,10860
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.2,2.1,1.2,83.1,1.5,11.9,10900
"Alma, MI Micro Area",0.6,3.5,0.6,87.7,0.5,7.1,10940
"Alpena, MI Micro Area",0.9,2.0,0.8,85.3,2.9,8.1,10980
"Altoona, PA Metro Area",0.1,3.4,0.6,89.2,0.7,5.9,11020
"Altus, OK Micro Area",0.3,2.0,0.0,90.6,1.9,5.2,11060
