NAME_x,bike_percent,walk_percent,transit_percent,car_percent,taxi_motorcycle_other_percent,wfh_percent,metropolitan statistical area/micropolitan statistical area_x,CBSAFP,NAME_y,metropolitan statistical area/micropolitan statistical area_y,associates_degree,bachelors_degree,bachelors_plus_percent,doctorate_degree,edu_high_school_grad,edu_less_than_hs,edu_some_college,education_total,ged_or_alternative,grade_1,grade_10,grade_11,grade_12_no_diploma,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,high_school_diploma,kindergarten,labor_force_total,masters_degree,median_age,median_income,median_mortgage_burden,median_rent,median_rent_burden,mortgage_10_15,mortgage_10_15_pct,mortgage_15_20,mortgage_15_20_pct,mortgage_20_25,mortgage_20_25_pct,mortgage_25_30,mortgage_25_30_pct,mortgage_30_35,mortgage_30_35_pct,mortgage_35_40,mortgage_35_40_pct,mortgage_40_50,mortgage_40_50_pct,mortgage_less_10,mortgage_less_10_pct,mortgage_over_50,mortgage_over_50_pct,mortgage_total,no_schooling,nursery_school,population,professional_degree,rent_burden_less_10,rent_burden_less_10_pct,rent_burden_less_15,rent_burden_less_15_pct,rent_burden_less_20,rent_burden_less_20_pct,rent_burden_less_25,rent_burden_less_25_pct,rent_burden_less_30,rent_burden_less_30_pct,rent_burden_less_35,rent_burden_less_35_pct,rent_burden_less_40,rent_burden_less_40_pct,rent_burden_less_50,rent_burden_less_50_pct,rent_burden_over_50,rent_burden_over_50_pct,some_college_1_or_more_years,some_college_less_1_year,total_rent_burden,total_unemployed,unemployment_rate
"Aberdeen, SD Micro Area",0.2,4.1,0.5,87.2,1.0,7.0,10100,10100,"Aberdeen, SD Micro Area",10100,3304,6809,32.79726748736925,409,30.481036077705824,6.2477762755283575,30.47392015939657,28106,966,0,183,275,446,0,20,37,0,49,0,360,62,7601,0,33298,1627,38.2,70761,19.6,796,22.8,1300,18.865186475112463,1775,25.75823537948048,1105,16.0354085038456,704,10.216224060368596,381,5.528950805398345,194,2.815266289362937,389,5.645044260629807,490,7.110724132927006,487,7.067189087215208,6891,291,33,42112,373,511,8.640514034494421,824,13.933040243490025,1045,17.669935745688196,761,12.86777138992222,328,5.546161650321271,534,9.029421711193775,159,2.68853567805208,393,6.645248562732499,1069,18.075752451809265,3522,1739,5914,746,2.240374797285122
"Aberdeen, WA Micro Area",0.5,3.7,1.7,83.1,1.6,9.4,10140,10140,"Aberdeen, WA Micro Area",10140,6852,6461,17.621113908680204,198,35.254727594150104,9.658756093641186,37.46540240352851,56001,4492,10,930,1022,886,205,68,21,58,390,136,437,706,15251,0,62918,2683,44.7,63539,23.6,1018,28.1,1913,16.08644466868483,2058,17.30575176589304,1835,15.43054154053145,1433,12.050117726202489,985,8.282879246552303,728,6.121762529431551,968,8.139926000672721,600,5.045408678102927,1269,10.67103935418769,11892,540,0,76397,526,322,3.921091086215295,927,11.288358499756454,1066,12.981003409644424,932,11.34924500730638,853,10.387238188017536,580,7.062834875791525,553,6.734047735021919,858,10.44812469556746,1473,17.937165124208477,8905,5224,8212,2115,3.361518166502432
"Abilene, TX Metro Area",0.5,1.9,0.4,88.5,1.0,7.7,10180,10180,"Abilene, TX Metro Area",10180,10802,19424,26.24174891973808,948,31.185769703182025,10.4553447559801,32.11713662109979,113167,8399,78,2047,2692,1324,129,333,180,156,640,334,744,1591,26893,0,140842,7892,34.4,66464,21.9,1095,29.5,3216,14.754323989539843,4203,19.2824700646878,4584,21.03041702986649,2571,11.795201174473553,1432,6.569711428178189,970,4.450153690874891,1586,7.276230673945956,1699,7.79465063999633,1511,6.932146625682433,21797,1553,31,178244,1433,636,2.651657285803627,2412,10.056285178236395,3006,12.5328330206379,2642,11.015217844486138,2553,10.644152595372107,2046,8.530331457160726,2043,8.517823639774859,1829,7.625599332916407,4839,20.175109443402125,17787,7757,23985,2235,1.5868845940841512
"Ada, OK Micro Area",0.1,4.3,0.2,90.7,1.0,3.7,10220,10220,"Ada, OK Micro Area",10220,1924,4605,29.73240832507433,401,32.24975222993062,9.546085232903865,28.471754212091177,25225,1242,7,496,526,344,8,1,25,12,72,32,287,431,6893,0,29786,2233,37.5,62564,17.4,880,24.6,1504,28.73519296904853,1230,23.50019105846389,564,10.775697363393196,512,9.782193351165455,224,4.279709591134887,215,4.107756973633932,111,2.1207489491784486,525,10.030569354222392,332,6.343141001146351,5234,167,0,38158,261,194,3.860696517412935,542,10.786069651741292,842,16.756218905472636,772,15.363184079601991,533,10.606965174129352,397,7.900497512437811,197,3.920398009950249,287,5.711442786069652,820,16.318407960199004,3563,1695,5025,640,2.148660444504129
"Adrian, MI Micro Area",0.1,2.8,0.2,88.1,0.6,8.3,10300,10300,"Adrian, MI Micro Area",10300,7219,9915,22.27321115171045,459,35.86184078027448,8.62272348016227,33.24222458785281,69514,3684,0,1160,1237,1324,25,19,74,29,169,89,391,519,21245,0,80944,4552,42.2,67013,19.6,965,29.4,3848,20.688172043010752,3699,19.887096774193548,2774,14.913978494623656,1529,8.220430107526882,1118,6.010752688172043,799,4.295698924731182,897,4.82258064516129,2056,11.053763440860214,1845,9.919354838709678,18600,956,2,98823,557,318,3.8359469240048254,732,8.829915560916767,975,11.761158021712909,916,11.049457177322076,889,10.723763570566948,750,9.047044632086852,482,5.814234016887817,609,7.3462002412545235,1764,21.278648974668275,9911,5978,8290,2511,3.102144692627001
"Aguadilla, PR Metro Area",0.2,3.2,0.4,89.4,0.7,6.1,10380,10380,"Aguadilla, PR Metro Area",10380,20720,34371,24.37287741089093,1401,29.16027465377332,26.06407177392905,20.402776161406702,189038,5066,1155,2911,4603,1701,1319,3659,3204,3716,6759,3822,5185,6706,50058,41,217441,9052,45.2,20800,26.0,506,29.0,2051,12.752595908723496,2527,15.712242740782193,1985,12.3422247093204,1926,11.975377728035816,978,6.0809550457004296,1003,6.236398681837966,1337,8.313125660635453,981,6.099608282036933,3056,19.001430081452465,16083,4443,47,252430,1250,624,2.0414172146432428,1616,5.286747145614552,1848,6.04573559721268,1510,4.939967939280924,1254,4.102463440965747,1267,4.144992966270815,731,2.391467922923414,1160,3.7949422579906433,3205,10.485163738672425,15925,1924,30567,10417,4.790724840301508
"Akron, OH Metro Area",0.1,1.5,0.8,83.5,1.0,13.1,10420,10420,"Akron, OH Metro Area",10420,40078,105592,34.460658888630434,7152,30.625303510726425,7.102253018783998,27.81178458185914,490098,14366,115,5845,7272,7677,45,178,113,266,551,404,2571,2975,135728,77,574951,46987,40.8,71312,18.1,1005,29.4,30770,24.352602254020518,28119,22.25449537799164,17215,13.62463593769786,10085,7.981670254527036,6223,4.925129796125111,4286,3.392110928200583,4953,3.92000126630366,14639,11.585887045713562,9615,7.609693554514372,126352,6671,48,699508,9160,3473,3.681053122482723,9139,9.686479840590154,11671,12.370161529656167,10755,11.3992877432484,9896,10.488828592021028,7843,8.312841819646415,5033,5.33450629584093,7566,8.019247890787298,22092,23.415440708865056,64250,31977,94348,19495,3.390723731239706
"Alamogordo, NM Micro Area",0.3,3.1,0.3,89.6,0.8,6.0,10460,10460,"Alamogordo, NM Micro Area",10460,4401,6453,21.59534360738144,366,29.02308353727098,12.708071521485106,36.67350133386247,45357,2793,0,572,1115,1021,57,86,93,154,744,56,505,821,10371,9,55018,2586,36.3,52717,19.8,926,28.4,1565,21.10871324521176,1415,19.08551389263556,1154,15.565147019152953,685,9.239277043431343,394,5.314270299433504,372,5.017534394388994,362,4.88265443755058,789,10.64202859455085,662,8.929053142702994,7414,531,0,68235,390,484,5.700153103285832,712,8.385349193263455,807,9.5041808974208,1024,12.059828053232836,1104,13.002002119891651,844,9.9399364032505,585,6.889647862442587,768,9.044871039924626,1240,14.603698033211634,8006,4227,8491,2397,4.356755970773202
"Alamosa, CO Micro Area",0.1,4.2,0.1,87.4,1.0,7.2,10480,10480,"Alamosa, CO Micro Area",10480,1744,3069,27.37020316027088,168,28.182844243792328,10.829571106094807,33.61738148984198,17720,914,0,360,237,142,66,70,58,38,161,18,246,280,4080,1,21875,1420,36.0,48011,24.6,874,28.4,537,15.65597667638484,475,13.848396501457728,446,13.002915451895044,538,15.685131195335275,283,8.25072886297376,269,7.8425655976676385,188,5.481049562682216,285,8.309037900874635,390,11.370262390670554,3430,242,0,27622,193,241,6.031031031031031,312,7.807807807807808,530,13.263263263263264,360,9.00900900900901,425,10.635635635635635,381,9.534534534534536,198,4.954954954954955,289,7.232232232232231,723,18.09309309309309,3101,1112,3996,423,1.9337142857142855
"Albany, GA Metro Area",0.1,1.2,0.8,89.5,1.4,7.0,10500,10500,"Albany, GA Metro Area",10500,9364,12019,23.00757599120075,1428,32.298187724221584,13.565855614148704,31.128380670428964,97281,5882,52,2940,2289,1700,50,63,123,187,417,623,1122,2388,25538,5,115517,6869,38.2,54219,19.9,922,30.4,3879,21.36836886465047,3418,18.828843717291907,2456,13.52944416900788,1950,10.742026111386547,790,4.351897757946345,672,3.70186745992398,855,4.709965294992563,1831,10.08648708202501,2208,12.163278796893076,18153,1217,21,146768,2066,1019,4.058144165671047,2335,9.299084030266826,3283,13.07447232178415,2561,10.199123855037834,2197,8.749502190362406,1569,6.248506571087216,1421,5.659099960175229,1602,6.379928315412187,7082,28.203902827558743,14088,6830,25110,5395,4.67030826631578
"Albany, OR Metro Area",0.5,2.2,0.2,85.6,1.6,10.0,10540,10540,"Albany, OR Metro Area",10540,9922,12644,20.77451647603785,691,29.00814471691072,8.716603367653839,41.5007354393976,91102,5719,0,1554,1464,1951,18,14,25,93,435,70,810,796,20708,11,104016,4657,40.2,73396,22.3,1273,29.8,3454,15.506868995241089,5033,22.595851665619108,3239,14.541618029990122,2769,12.43153452455778,1954,8.772559935350634,937,4.206698392744904,1245,5.589476519709078,1152,5.17194935799587,2474,11.10712040944599,22274,619,81,129794,934,526,3.1585900438359453,1461,8.773194019095659,1740,10.448567825617005,2061,12.376148441722211,2074,12.454212454212454,1257,7.54818951540263,1075,6.455293340539242,1637,9.83006064973278,3766,22.614543926019337,17214,10672,16653,3705,3.5619520073834794
"Albany-Schenectady-Troy, NY Metro Area",0.2,3.1,2.7,79.2,1.1,13.7,10580,10580,"Albany-Schenectady-Troy, NY Metro Area",10580,76704,140304,40.90556397419928,13899,24.31487666907325,6.897170013408123,27.882389343319343,630215,27386,99,6876,8279,8021,64,445,483,796,1370,1083,3238,4055,125850,64,749560,86548,40.5,86072,19.4,1230,28.1,31451,21.07975871313673,33273,22.30093833780161,23188,15.541554959785522,14616,9.796246648793566,8769,5.877345844504021,5152,3.453083109919571,7052,4.726541554959786,13374,8.963806970509383,11937,8.000670241286862,149200,8521,73,902372,17042,5498,4.04904812755459,12940,9.52977132967559,19024,14.010384063040837,17380,12.799646499981588,15440,11.37091725890194,10999,8.100305630224252,6795,5.0042346356372205,9695,7.139963913539788,31083,22.89133556725706,61400,37615,135785,23096,3.081274347617269
"Albemarle, NC Micro Area",0.0,0.8,0.4,90.6,0.6,7.7,10620,10620,"Albemarle, NC Micro Area",10620,6040,6618,19.69853072925999,155,31.64307471779251,12.86731768500269,35.79107686794482,44648,2484,0,1084,1056,1106,8,84,0,36,130,186,722,818,11644,17,51303,1771,40.6,61631,18.0,830,25.1,2553,25.681520973745094,1751,17.613922140629715,1148,11.548133990544212,879,8.842168795895786,463,4.657479126848406,419,4.2148677195453175,401,4.03379941655769,1319,13.268282868926669,922,9.274720853032894,9941,475,23,63557,251,621,9.644354713464825,623,9.675415437179687,820,12.734896723093648,594,9.22503494331418,423,6.569343065693431,498,7.734120205000776,241,3.7428172076409374,473,7.345861158564995,1034,16.05839416058394,6351,3589,6439,1212,2.362434945324835
"Albert Lea, MN Micro Area",0.5,2.5,0.1,88.4,1.0,7.5,10660,10660,"Albert Lea, MN Micro Area",10660,3249,2695,18.088067533652747,82,33.059548254620125,10.134610997033995,38.71777321469313,21915,881,0,363,292,436,1,4,36,58,108,60,275,190,6364,0,24734,873,43.9,69012,18.7,837,26.9,1353,25.24724762082478,846,15.786527337189774,709,13.230080238850531,507,9.460720283635006,366,6.829632394103377,243,4.534428064937488,182,3.396155999253593,674,12.576973315917147,437,8.15450643776824,5359,397,1,30752,314,180,6.756756756756757,284,10.66066066066066,309,11.5990990990991,330,12.387387387387388,214,8.033033033033032,175,6.569069069069069,199,7.46996996996997,188,7.057057057057057,490,18.393393393393392,3438,1798,2664,579,2.3409072531737687
"Albertville, AL Micro Area",0.0,0.4,0.2,92.8,0.5,6.1,10700,10700,"Albertville, AL Micro Area",10700,6835,9466,21.32640990582705,412,32.679397170202634,15.57924815264314,30.41494477132718,65093,4543,79,1595,1624,960,39,264,126,78,536,316,1191,1454,16729,0,75978,3376,38.6,60946,19.1,765,27.1,3030,21.141501535026517,3092,21.57409991627128,1938,13.52218811052191,1295,9.035724253418923,906,6.321518280770304,512,3.572425341892269,559,3.900362824448786,1568,10.940552609545072,1367,9.538096567122524,14332,1872,7,98712,628,554,6.281891370903731,940,10.658804853157957,1214,13.765733076312506,681,7.721963941489965,868,9.84238575802245,953,10.806213856446307,482,5.465472275768227,555,6.293230525002835,1263,14.321351627168614,8339,4624,8819,1607,2.115085945931717
"Albuquerque, NM Metro Area",0.6,1.6,1.0,82.6,1.2,12.9,10740,10740,"Albuquerque, NM Metro Area",10740,62523,123872,35.02546802434145,15868,23.63745682367945,9.66235303779991,31.67472211417919,645319,28745,233,7922,10903,11137,442,890,414,1001,5753,1337,4408,7715,123792,97,748778,70842,39.6,67995,20.6,1102,30.8,29836,18.84537645275392,31488,19.888832743810006,22575,14.259095502779182,15097,9.535750378979282,9140,5.77311773623042,7761,4.902097018696312,7909,4.995578575037897,14434,9.116978271854473,18749,11.842470944921676,158320,9989,112,918567,15444,4179,3.5921195138303905,9101,7.822895356633258,13978,12.014990802661211,13337,11.464010039711871,11856,10.1909952036308,9562,8.219154532482937,7413,6.371950695387578,9911,8.519142498581719,28783,24.74084134160807,99583,42297,116338,24836,3.316870955076137
"Alexander City, AL Micro Area",0.1,0.9,0.3,93.7,0.4,4.5,10760,10760,"Alexander City, AL Micro Area",10760,2710,3560,18.725005880969185,130,32.73515475350337,16.191148301240045,32.348691064287394,29757,1849,4,817,999,1102,77,75,61,1,177,109,371,543,7892,0,33752,1442,45.4,57185,18.3,734,25.4,1224,20.248138957816376,1385,22.91149710504549,841,13.91232423490488,319,5.277088502894955,249,4.11910669975186,180,2.977667493796526,448,7.411083540115798,861,14.24317617866005,466,7.70885028949545,6045,482,0,41070,440,247,6.118404756006936,354,8.768887787961358,595,14.738667327223183,376,9.313846916026751,495,12.26158038147139,142,3.5174634629675503,110,2.7247956403269757,294,7.28263562051028,611,15.135001238543472,4521,2395,4037,1334,3.95235837876274
"Alexandria, LA Metro Area",0.2,2.2,1.9,87.5,3.6,4.5,10780,10780,"Alexandria, LA Metro Area",10780,7190,13623,20.923261981996195,1101,37.81588002721276,13.501868412490264,27.75898957830078,101423,6946,21,3048,2980,1370,0,95,10,66,476,749,1373,1836,31408,0,118415,4949,37.9,56492,19.1,935,30.9,3867,20.80486361435412,3887,20.912465701834616,2464,13.256577177597244,1806,9.71646849948889,1138,6.122558777640286,769,4.137300263625114,746,4.013557863022543,2156,11.59950503039759,1631,8.77495023403454,18587,1631,39,150593,1548,524,2.882763932442097,1537,8.455740771304395,1958,10.771854541453486,2002,11.01391868845244,1820,10.012653353138582,1454,7.999119766738186,950,5.2263849920228855,1599,8.796831160257469,4333,23.837817021510705,15772,5192,18177,3186,2.6905375163619474
