NAME,metropolitan statistical area/micropolitan statistical area,associates_degree,bachelors_degree,bachelors_plus_percent,doctorate_degree,edu_high_school_grad,edu_less_than_hs,edu_some_college,education_total,ged_or_alternative,grade_1,grade_10,grade_11,grade_12_no_diploma,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,high_school_diploma,kindergarten,masters_degree,no_schooling,nursery_school,professional_degree,some_college_1_or_more_years,some_college_less_1_year
"Aberdeen, SD Micro Area",10100,3304,6809,32.79726748736925,409,30.481036077705824,6.2477762755283575,30.473920159396574,28106,966,0,183,275,446,0,20,37,0,49,0,360,62,7601,0,1627,291,33,373,3522,1739
"Aberdeen, WA Micro Area",10140,6852,6461,17.621113908680204,198,35.254727594150104,9.658756093641186,37.46540240352851,56001,4492,10,930,1022,886,205,68,21,58,390,136,437,706,15251,0,2683,540,0,526,8905,5224
"Abilene, TX Metro Area",10180,10802,19424,26.241748919738082,948,31.185769703182025,10.4553447559801,32.11713662109979,113167,8399,78,2047,2692,1324,129,333,180,156,640,334,744,1591,26893,0,7892,1553,31,1433,17787,7757
"Ada, OK Micro Area",10220,1924,4605,29.73240832507433,401,32.24975222993062,9.546085232903865,28.471754212091177,25225,1242,7,496,526,344,8,1,25,12,72,32,287,431,6893,0,2233,167,0,261,3563,1695
"Adrian, MI Micro Area",10300,7219,9915,22.27321115171045,459,35.86184078027448,8.62272348016227,33.24222458785281,69514,3684,0,1160,1237,1324,25,19,74,29,169,89,391,519,21245,0,4552,956,2,557,9911,5978
"Aguadilla, PR Metro Area",10380,20720,34371,24.37287741089093,1401,29.160274653773318,26.064071773929054,20.402776161406702,189038,5066,1155,2911,4603,1701,1319,3659,3204,3716,6759,3822,5185,6706,50058,41,9052,4443,47,1250,15925,1924
"Akron, OH Metro Area",10420,40078,105592,34.460658888630434,7152,30.625303510726425,7.102253018783998,27.81178458185914,490098,14366,115,5845,7272,7677,45,178,113,266,551,404,2571,2975,135728,77,46987,6671,48,9160,64250,31977
"Alamogordo, NM Micro Area",10460,4401,6453,21.59534360738144,366,29.02308353727098,12.708071521485106,36.67350133386247,45357,2793,0,572,1115,1021,57,86,93,154,744,56,505,821,10371,9,2586,531,0,390,8006,4227
"Alamosa, CO Micro Area",10480,1744,3069,27.37020316027088,168,28.182844243792328,10.829571106094809,33.61738148984198,17720,914,0,360,237,142,66,70,58,38,161,18,246,280,4080,1,1420,242,0,193,3101,1112
"Albany, GA Metro Area",10500,9364,12019,23.00757599120075,1428,32.298187724221584,13.565855614148703,31.128380670428964,97281,5882,52,2940,2289,1700,50,63,123,187,417,623,1122,2388,25538,5,6869,1217,21,2066,14088,6830
"Albany, OR Metro Area",10540,9922,12644,20.774516476037846,691,29.008144716910717,8.716603367653839,41.500735439397594,91102,5719,0,1554,1464,1951,18,14,25,93,435,70,810,796,20708,11,4657,619,81,934,17214,10672
"Albany-Schenectady-Troy, NY Metro Area",10580,76704,140304,40.90556397419928,13899,24.31487666907325,6.897170013408123,27.882389343319343,630215,27386,99,6876,8279,8021,64,445,483,796,1370,1083,3238,4055,125850,64,86548,8521,73,17042,61400,37615
"Albemarle, NC Micro Area",10620,6040,6618,19.69853072925999,155,31.64307471779251,12.86731768500269,35.79107686794482,44648,2484,0,1084,1056,1106,8,84,0,36,130,186,722,818,11644,17,1771,475,23,251,6351,3589
"Albert Lea, MN Micro Area",10660,3249,2695,18.088067533652747,82,33.059548254620125,10.134610997033995,38.71777321469313,21915,881,0,363,292,436,1,4,36,58,108,60,275,190,6364,0,873,397,1,314,3438,1798
"Albertville, AL Micro Area",10700,6835,9466,21.32640990582705,412,32.679397170202634,15.57924815264314,30.41494477132718,65093,4543,79,1595,1624,960,39,264,126,78,536,316,1191,1454,16729,0,3376,1872,7,628,8339,4624
