NAME,metropolitan statistical area/micropolitan statistical area,labor_force_total,total_unemployed,unemployment_rate
"Aberdeen, SD Micro Area",10100,33298,746,2.240374797285122
"Aberdeen, WA Micro Area",10140,62918,2115,3.3615181665024316
"Abilene, TX Metro Area",10180,140842,2235,1.5868845940841512
"Ada, OK Micro Area",10220,29786,640,2.1486604445041295
"Adrian, MI Micro Area",10300,80944,2511,3.102144692627001
"Aguadilla, PR Metro Area",10380,217441,10417,4.7907248403015075
"Akron, OH Metro Area",10420,574951,19495,3.390723731239706
"Alamogordo, NM Micro Area",10460,55018,2397,4.356755970773202
"Alamosa, CO Micro Area",10480,21875,423,1.9337142857142857
"Albany, GA Metro Area",10500,115517,5395,4.67030826631578
"Albany, OR Metro Area",10540,104016,3705,3.5619520073834794
"Albany-Schenectady-Troy, NY Metro Area",10580,749560,23096,3.081274347617269
"Albemarle, NC Micro Area",10620,51303,1212,2.362434945324835
"Albert Lea, MN Micro Area",10660,24734,579,2.3409072531737687
"Albertville, AL Micro Area",10700,75978,1607,2.115085945931717
"Albuquerque, NM Metro Area",10740,748778,24836,3.316870955076137
"Alexander City, AL Micro Area",10760,33752,1334,3.95235837876274
"Alexandria, LA Metro Area",10780,118415,3186,2.6905375163619474
"Alexandria, MN Micro Area",10820,31755,547,1.7225633758463235
"Alice, TX Micro Area",10860,35124,1025,2.9182325475458377
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10900,709620,24321,3.4273273019362476
"Alma, MI Micro Area",10940,34425,853,2.477850399419027
"Alpena, MI Micro Area",10980,24124,914,3.788758083236611
"Altoona, PA Metro Area",11020,100226,2628,2.6220741125057367
"Altus, OK Micro Area",11060,19145,588,3.0712979890310783
"Amarillo, TX Metro Area",11100,209825,4289,2.0440843560109614
"Americus, GA Micro Area",11140,26662,723,2.7117245517965642
"Ames, IA Metro Area",11180,106091,2955,2.7853446569454525
"Amherst Town-Northampton, MA Metro Area",11200,136669,4265,3.1206784274414825
"Amsterdam, NY Micro Area",11220,39216,1131,2.8840269277845776
"Anchorage, AK Metro Area",11260,312587,9835,3.1463240633807543
"Anderson Creek, NC Micro Area",11360,104990,2907,2.768835127154967
"Andrews, TX Micro Area",11380,13492,214,1.5861251111769936
"Angola, IN Micro Area",11420,28618,1267,4.427283527849605
