NAME,population,median_income,median_rent,median_age,metropolitan statistical area/micropolitan statistical area,unemployment_rate,bachelors_plus_percent,edu_less_than_hs,edu_high_school_grad,edu_some_college
"Aberdeen, SD Micro Area",42112,70761,796,,10100,,,,,
"Aberdeen, WA Micro Area",76397,63539,1018,,10140,,,,,
"Abilene, TX Metro Area",178244,66464,1095,,10180,,,,,
"Ada, OK Micro Area",38158,62564,880,,10220,,,,,
"Adrian, MI Micro Area",98823,67013,965,,10300,,,,,
"Aguadilla, PR Metro Area",252430,20800,506,,10380,,,,,
"Akron, OH Metro Area",699508,71312,1005,,10420,,,,,
"Alamogordo, NM Micro Area",68235,52717,926,,10460,,,,,
"Alamosa, CO Micro Area",27622,48011,874,,10480,,,,,
"Albany, GA Metro Area",146768,54219,922,,10500,,,,,
"Albany, OR Metro Area",129794,73396,1273,,10540,,,,,
"Albany-Schenectady-Troy, NY Metro Area",902372,86072,1230,,10580,,,,,
"Albemarle, NC Micro Area",63557,61631,830,,10620,,,,,
"Albert Lea, MN Micro Area",30752,69012,837,,10660,,,,,
"Albertville, AL Micro Area",98712,60946,765,,10700,,,,,
"Albuquerque, NM Metro Area",918567,67995,1102,,10740,,,,,
"Alexander City, AL Micro Area",41070,57185,734,,10760,,,,,
"Alexandria, LA Metro Area",150593,56492,935,,10780,,,,,
"Alexandria, MN Micro Area",39354,77264,896,,10820,,,,,
"Alice, TX Micro Area",45850,45939,834,,10860,,,,,
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",866764,82602,1309,,10900,,,,,
"Alma, MI Micro Area",41478,61128,808,,10940,,,,,
"Alpena, MI Micro Area",28908,51909,660,,10980,,,,,
"Altoona, PA Metro Area",121854,60594,854,,11020,,,,,
"Altus, OK Micro Area",24730,61497,865,,11060,,,,,
"Amarillo, TX Metro Area",270207,66571,1044,,11100,,,,,
"Americus, GA Micro Area",33713,42821,841,,11140,,,,,
"Ames, IA Metro Area",125261,71090,1002,,11180,,,,,
"Amherst Town-Northampton, MA Metro Area",156595,86391,1332,,11200,,,,,
"Amsterdam, NY Micro Area",49461,62923,921,,11220,,,,,
"Anchorage, AK Metro Area",399746,95918,1422,,11260,,,,,
"Anderson Creek, NC Micro Area",136503,69012,1080,,11360,,,,,
"Andrews, TX Micro Area",18518,76902,1364,,11380,,,,,
"Angola, IN Micro Area",34648,71483,921,,11420,,,,,
"Ann Arbor, MI Metro Area",368394,87156,1400,,11460,,,,,
"Anniston-Oxford, AL Metro Area",116141,55826,804,,11500,,,,,
"Appleton, WI Metro Area",244163,83919,999,,11540,,,,,
"Arcadia, FL Micro Area",34719,50868,910,,11580,,,,,
"Ardmore, OK Micro Area",48255,58856,945,,11620,,,,,
"Arecibo, PR Metro Area",181380,24436,535,,11640,,,,,
"Arkadelphia, AR Micro Area",21378,50985,734,,11660,,,,,
"Arkansas City-Winfield, KS Micro Area",34487,58263,779,,11680,,,,,
"Asheville, NC Metro Area",410817,69236,1223,,11700,,,,,
"Ashland, OH Micro Area",52296,64991,841,,11740,,,,,
"Astoria, OR Micro Area",41343,68705,1130,,11820,,,,,
"Atchison, KS Micro Area",16211,62164,756,,11860,,,,,
