NAME,metropolitan statistical area/micropolitan statistical area,median_rent_burden,rent_burden_less_10,rent_burden_less_10_pct,rent_burden_less_15,rent_burden_less_15_pct,rent_burden_less_20,rent_burden_less_20_pct,rent_burden_less_25,rent_burden_less_25_pct,rent_burden_less_30,rent_burden_less_30_pct,rent_burden_less_35,rent_burden_less_35_pct,rent_burden_less_40,rent_burden_less_40_pct,rent_burden_less_50,rent_burden_less_50_pct,rent_burden_over_50,rent_burden_over_50_pct,total_rent_burden
"Aberdeen, SD Micro Area",10100,22.8,511,8.640514034494421,824,13.933040243490025,1045,17.669935745688196,761,12.86777138992222,328,5.546161650321271,534,9.029421711193777,159,2.6885356780520797,393,6.645248562732499,1069,18.075752451809265,5914
"Aberdeen, WA Micro Area",10140,28.1,322,3.921091086215295,927,11.288358499756454,1066,12.981003409644423,932,11.349245007306381,853,10.387238188017536,580,7.062834875791525,553,6.734047735021919,858,10.448124695567461,1473,17.937165124208477,8212
"Abilene, TX Metro Area",10180,29.5,636,2.651657285803627,2412,10.056285178236397,3006,12.532833020637899,2642,11.015217844486138,2553,10.644152595372107,2046,8.530331457160726,2043,8.517823639774859,1829,7.625599332916407,4839,20.175109443402125,23985
"Ada, OK Micro Area",10220,24.6,194,3.860696517412935,542,10.786069651741293,842,16.756218905472636,772,15.363184079601991,533,10.606965174129353,397,7.900497512437811,197,3.920398009950249,287,5.711442786069652,820,16.318407960199004,5025
"Adrian, MI Micro Area",10300,29.4,318,3.8359469240048254,732,8.829915560916767,975,11.761158021712907,916,11.049457177322076,889,10.723763570566948,750,9.047044632086852,482,5.814234016887817,609,7.3462002412545235,1764,21.278648974668275,8290
"Aguadilla, PR Metro Area",10380,29.0,624,2.0414172146432428,1616,5.286747145614552,1848,6.04573559721268,1510,4.9399679392809235,1254,4.102463440965747,1267,4.144992966270815,731,2.391467922923414,1160,3.7949422579906433,3205,10.485163738672425,30567
"Akron, OH Metro Area",10420,29.4,3473,3.6810531224827234,9139,9.686479840590154,11671,12.370161529656167,10755,11.3992877432484,9896,10.488828592021028,7843,8.312841819646415,5033,5.33450629584093,7566,8.019247890787298,22092,23.415440708865056,94348
"Alamogordo, NM Micro Area",10460,28.4,484,5.700153103285832,712,8.385349193263455,807,9.504180897420799,1024,12.059828053232835,1104,13.002002119891651,844,9.9399364032505,585,6.889647862442587,768,9.044871039924626,1240,14.603698033211634,8491
"Alamosa, CO Micro Area",10480,28.4,241,6.031031031031031,312,7.807807807807808,530,13.263263263263264,360,9.00900900900901,425,10.635635635635635,381,9.534534534534535,198,4.954954954954955,289,7.232232232232231,723,18.093093093093092,3996
"Albany, GA Metro Area",10500,30.4,1019,4.058144165671047,2335,9.299084030266826,3283,13.07447232178415,2561,10.199123855037834,2197,8.749502190362406,1569,6.248506571087216,1421,5.659099960175229,1602,6.379928315412187,7082,28.203902827558743,25110
"Albany, OR Metro Area",10540,29.8,526,3.1585900438359453,1461,8.773194019095659,1740,10.448567825617005,2061,12.376148441722211,2074,12.454212454212454,1257,7.54818951540263,1075,6.455293340539242,1637,9.830060649732781,3766,22.614543926019337,16653
"Albany-Schenectady-Troy, NY Metro Area",10580,28.1,5498,4.04904812755459,12940,9.52977132967559,19024,14.010384063040837,17380,12.799646499981588,15440,11.37091725890194,10999,8.100305630224252,6795,5.0042346356372205,9695,7.139963913539788,31083,22.89133556725706,135785
"Albemarle, NC Micro Area",10620,25.1,621,9.644354713464825,623,9.675415437179687,820,12.734896723093648,594,9.22503494331418,423,6.569343065693431,498,7.734120205000776,241,3.7428172076409383,473,7.345861158564995,1034,16.05839416058394,6439
"Albert Lea, MN Micro Area",10660,26.9,180,6.756756756756757,284,10.66066066066066,309,11.5990990990991,330,12.387387387387387,214,8.033033033033032,175,6.569069069069069,199,7.46996996996997,188,7.057057057057057,490,18.393393393393392,2664
"Albertville, AL Micro Area",10700,27.1,554,6.281891370903731,940,10.658804853157955,1214,13.765733076312506,681,7.721963941489965,868,9.84238575802245,953,10.806213856446309,482,5.465472275768227,555,6.293230525002835,1263,14.321351627168614,8819
"Albuquerque, NM Metro Area",10740,30.8,4179,3.5921195138303905,9101,7.822895356633258,13978,12.014990802661211,13337,11.464010039711873,11856,10.1909952036308,9562,8.219154532482937,7413,6.371950695387578,9911,8.519142498581719,28783,24.74084134160807,116338
"Alexander City, AL Micro Area",10760,25.4,247,6.118404756006936,354,8.768887787961358,595,14.738667327223185,376,9.313846916026753,495,12.26158038147139,142,3.5174634629675503,110,2.7247956403269753,294,7.2826356205102805,611,15.135001238543472,4037
"Alexandria, LA Metro Area",10780,30.9,524,2.882763932442097,1537,8.455740771304395,1958,10.771854541453486,2002,11.01391868845244,1820,10.012653353138582,1454,7.999119766738186,950,5.2263849920228855,1599,8.796831160257469,4333,23.837817021510702,18177
"Alexandria, MN Micro Area",10820,24.6,160,3.898635477582846,310,7.553606237816764,604,14.717348927875243,917,22.344054580896685,363,8.845029239766083,421,10.258284600389864,119,2.8996101364522415,236,5.750487329434698,695,16.93469785575049,4104
"Alice, TX Micro Area",10860,32.8,379,6.674885523071504,243,4.2796759422331805,628,11.060232476224023,469,8.25995068686157,191,3.363860514265586,486,8.559351884466361,164,2.8883409651285663,469,8.25995068686157,1334,23.494188094399437,5678
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10900,30.7,3526,3.432732653796353,8910,8.674318759309559,11566,11.260064059503296,11898,11.583282222027512,11046,10.75381874470633,9278,9.032584674396643,6426,6.256023832471742,9440,9.190299560929544,24478,23.830524645384894,102717
