NAME,metropolitan statistical area/micropolitan statistical area,median_age,median_income,median_rent,population
"Aberdeen, SD Micro Area",10100,38.2,70761,796,42112
"Aberdeen, WA Micro Area",10140,44.7,63539,1018,76397
"Abilene, TX Metro Area",10180,34.4,66464,1095,178244
"Ada, OK Micro Area",10220,37.5,62564,880,38158
"Adrian, MI Micro Area",10300,42.2,67013,965,98823
"Aguadilla, PR Metro Area",10380,45.2,20800,506,252430
"Akron, OH Metro Area",10420,40.8,71312,1005,699508
"Alamogordo, NM Micro Area",10460,36.3,52717,926,68235
"Alamosa, CO Micro Area",10480,36.0,48011,874,27622
"Albany, GA Metro Area",10500,38.2,54219,922,146768
"Albany, OR Metro Area",10540,40.2,73396,1273,129794
"Albany-Schenectady-Troy, NY Metro Area",10580,40.5,86072,1230,902372
"Albemarle, NC Micro Area",10620,40.6,61631,830,63557
"Albert Lea, MN Micro Area",10660,43.9,69012,837,30752
"Albertville, AL Micro Area",10700,38.6,60946,765,98712
"Albuquerque, NM Metro Area",10740,39.6,67995,1102,918567
"Alexander City, AL Micro Area",10760,45.4,57185,734,41070
"Alexandria, LA Metro Area",10780,37.9,56492,935,150593
"Alexandria, MN Micro Area",10820,44.3,77264,896,39354
"Alice, TX Micro Area",10860,35.7,45939,834,45850
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10900,41.4,82602,1309,866764
"Alma, MI Micro Area",10940,39.7,61128,808,41478
"Alpena, MI Micro Area",10980,47.6,51909,660,28908
"Altoona, PA Metro Area",11020,42.9,60594,854,121854
"Altus, OK Micro Area",11060,35.0,61497,865,24730
"Amarillo, TX Metro Area",11100,36.3,66571,1044,270207
"Americus, GA Micro Area",11140,37.8,42821,841,33713
"Ames, IA Metro Area",11180,30.0,71090,1002,125261
"Amherst Town-Northampton, MA Metro Area",11200,38.7,86391,1332,156595
"Amsterdam, NY Micro Area",11220,40.1,62923,921,49461
"Anchorage, AK Metro Area",11260,35.4,95918,1422,399746
"Anderson Creek, NC Micro Area",11360,35.4,69012,1080,136503
"Andrews, TX Micro Area",11380,33.1,76902,1364,18518
"Angola, IN Micro Area",11420,43.6,71483,921,34648
"Ann Arbor, MI Metro Area",11460,34.8,87156,1400,368394
"Anniston-Oxford, AL Metro Area",11500,39.0,55826,804,116141
"Appleton, WI Metro Area",11540,39.3,83919,999,244163
"Arcadia, FL Micro Area",11580,42.8,50868,910,34719
"Ardmore, OK Micro Area",11620,38.3,58856,945,48255
"Arecibo, PR Metro Area",11640,45.0,24436,535,181380
"Arkadelphia, AR Micro Area",11660,31.9,50985,734,21378
"Arkansas City-Winfield, KS Micro Area",11680,38.1,58263,779,34487
"Asheville, NC Metro Area",11700,43.8,69236,1223,410817
"Ashland, OH Micro Area",11740,41.4,64991,841,52296
"Astoria, OR Micro Area",11820,45.2,68705,1130,41343
"Atchison, KS Micro Area",11860,36.4,62164,756,16211
"Athens, OH Micro Area",11900,32.8,53837,903,61573
"Athens, TN Micro Area",11940,43.0,59361,806,67211
"Athens, TX Micro Area",11980,43.8,63955,978,83658
"Athens-Clarke County, GA Metro Area",12020,33.2,62897,1144,218190
"Atlanta-Sandy Springs-Roswell, GA Metro Area",12060,37.0,86338,1563,6176937
"Atlantic City-Hammonton, NJ Metro Area",12100,44.4,80600,1328,369940
"Auburn, IN Micro Area",12140,38.4,70080,828,43584
"Auburn, NY Micro Area",12180,43.7,66583,895,75464
"Auburn-Opelika, AL Metro Area",12220,33.8,58991,974,196614
"Augusta-Richmond County, GA-SC Metro Area",12260,38.2,66628,1075,618022
"Augusta-Waterville, ME Micro Area",12300,44.0,65062,952,125614
"Austin, MN Micro Area",12380,38.9,71495,848,40069
"Austin-Round Rock-San Marcos, TX Metro Area",12420,35.9,97638,1646,2357497
"Bainbridge, GA Micro Area",12460,38.7,50485,860,29118
"Baker City, OR Micro Area",12520,47.6,57844,814,16796
"Bakersfield-Delano, CA Metro Area",12540,32.4,67660,1220,910433
"Baltimore-Columbia-Towson, MD Metro Area",12580,38.9,97300,1562,2839409
"Bangor, ME Metro Area",12620,42.5,63248,997,153571
"Baraboo, WI Micro Area",12660,41.3,77648,970,65759
"Barnstable Town, MA Metro Area",12700,55.1,94452,1596,230073
"Barre, VT Micro Area",12740,43.7,79853,1094,59958
"Bartlesville, OK Micro Area",12780,39.4,61205,903,52895
"Batavia, NY Micro Area",12860,42.4,72055,909,57943
"Batesville, AR Micro Area",12900,39.0,56009,814,38120
"Baton Rouge, LA Metro Area",12940,36.0,68910,1108,871379
"Battle Creek, MI Metro Area",12980,40.2,60385,937,133846
"Bay City, MI Metro Area",13020,43.8,60523,809,103235
"Bay City, TX Micro Area",13060,37.5,55174,998,36274
"Beatrice, NE Micro Area",13100,42.8,64426,770,21646
"Beaumont-Port Arthur, TX Metro Area",13140,37.6,65245,1063,396058
"Beaver Dam, WI Micro Area",13180,42.9,73992,963,88818
"Beckley, WV Metro Area",13220,43.3,52345,820,113653
"Bedford, IN Micro Area",13260,43.5,65551,800,45077
"Beeville, TX Micro Area",13300,35.8,56075,1028,31000
"Bellefontaine, OH Micro Area",13340,42.1,69183,832,46140
"Bellingham, WA Metro Area",13380,38.2,80989,1465,228432
